                 PLAYER_NAME  PTS  CONTESTED_SHOTS  CONTESTED_SHOTS_2PT  CONTESTED_SHOTS_3PT  DEFLECTIONS  CHARGES_DRAWN  SCREEN_ASSISTS  SCREEN_AST_PTS  OFF_LOOSE_BALLS_RECOVERED  DEF_LOOSE_BALLS_RECOVERED  LOOSE_BALLS_RECOVERED  OFF_BOXOUTS  DEF_BOXOUTS  BOX_OUT_PLAYER_TEAM_REBS  BOX_OUT_PLAYER_REBS  BOX_OUTS
17               Alex Caruso   14                1                    0                    1            2              0               0               0                          1                          0                      1            0            0                         0                    0         0
20              Dion Waiters    2                1                    1                    0            0              0               0               0                          0                          0                      0            0            0                         0                    0         0
18             Dwight Howard    1                2                    0                    2            1              0               1               3                          0                          0                      0            0            0                         0                    0         0
16               Rajon Rondo    8                2                    2                    0            5              0               0               0                          0                          3                      3            0            0                         0                    0         0
8              Austin Rivers   10                2                    1                    1            0              0               0               0                          0                          0                      0            0            0                         0                    0         0
14  Kentavious Caldwell-Pope    5                3                    0                    3            1              0               1               2                          1                          0                      1            0            0                         0                    0         0
12              JaVale McGee    4                3                    3                    0            0              0               0               0                          0                          0                      0            0            0                         0                    0         0
0                Eric Gordon   23                3                    2                    1            1              0               0               0                          0                          0                      0            0            0                         0                    0         0
5           Danuel House Jr.    0                5                    2                    3            0              0               0               0                          0                          0                      0            0            0                         0                    0         0
4          Russell Westbrook   24                5                    2                    3            1              0               0               0                          0                          0                      0            0            0                         0                    0         0
2           Robert Covington    6                5                    3                    2            3              0               1               2                          0                          0                      0            0            4                         3                    1         4
6                 Jeff Green    7                6                    4                    2            2              0               3               8                          0                          0                      0            0            0                         0                    0         0
15                Kyle Kuzma    8                7                    4                    3            1              0               0               0                          1                          0                      1            0            1                         0                    0         1
1                P.J. Tucker    6                7                    3                    4            1              0               1               3                          3                          1                      4            1            9                         8                    3        10
13               Danny Green   10                8                    3                    5            1              0               0               0                          0                          0                      0            0            1                         1                    1         1
11             Anthony Davis   25                8                    4                    4            4              0               0               0                          0                          0                      0            0            0                         0                    0         0
10              LeBron James   20                8                    6                    2            0              0               0               0                          0                          0                      0            0            1                         1                    0         1
3               James Harden   36               10                    4                    6            3              0               0               0                          0                          0                      0            0            1                         0                    0         1
